City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
121,soe,97,EE,1571081412,93,57.91,26.05,280.15,4.6
122,lompoc,1,US,1571081412,59,34.64,-120.46,294.82,3.1
123,castro,0,CL,1571081412,23,-42.48,-73.76,291.15,5.7
124,bubaque,2,GW,1571081412,75,11.28,-15.83,301.4,6.097
125,tagusao,95,PH,1571081412,85,9.19,117.81,298.0,0.421
126,torbay,90,CA,1571081412,75,47.66,-52.73,279.82,7.2
127,garowe,15,SO,1571081412,77,8.41,48.48,298.4,10.368
128,huty,33,UA,1571081412,69,50.13,35.35,287.8,3.531
129,north bend,1,US,1571081412,72,43.41,-124.22,289.26,2.6
130,khatanga,97,RU,1571081412,96,71.98,102.47,271.1,4.632
131,hami,0,CN,1571081412,27,42.84,93.51,285.1,2.82
132,east london,0,ZA,1571081412,93,-33.02,27.91,291.15,2.1
133,mwingi,20,KE,1571081412,70,-0.93,38.07,294.9,3.035
134,ures,0,MX,1571081412,50,30.73,-112.95,304.82,4.47
135,guanhaes,30,BR,1571081412,32,-18.77,-42.93,302.2,3.779
136,tasiilaq,75,GL,1571081412,64,65.61,-37.64,275.15,8.2
137,tommot,100,RU,1571081412,96,58.97,126.27,269.1,3.792
138,kavieng,97,PG,1571081412,73,-2.57,150.8,301.3,3.553
139,cabo san lucas,90,MX,1571081412,83,22.89,-109.91,303.15,5.1
140,kulebaki,100,RU,1571081412,94,55.41,42.53,282.0,4.066
141,aswan,66,EG,1571081412,23,24.09,32.9,308.15,1.5
142,tromso,20,NO,1571081412,80,69.65,18.96,272.15,2.6
143,dolgorukovo,3,RU,1571081412,73,52.32,38.35,288.2,6.026
144,pontes e lacerda,40,BR,1571081412,33,-15.23,-59.33,309.0,0.553
145,lagoa,20,PT,1571081412,68,37.14,-8.45,292.15,4.1
146,champerico,75,MX,1571081412,54,16.38,-93.6,302.15,1.5
147,cherskiy,98,RU,1571081412,96,68.75,161.3,268.4,4.079
148,hasaki,75,JP,1571081412,93,35.73,140.83,290.37,0.5
149,carauari,49,BR,1571081412,45,-4.88,-66.9,307.3,0.414
150,brae,86,GB,1571081412,87,60.4,-1.35,283.15,4.1
151,carnarvon,32,ZA,1571081412,14,-30.97,22.13,293.4,8.274
152,juneau,75,US,1571081412,65,58.3,-134.42,277.59,4.075
153,wagar,81,US,1571081412,78,31.44,-87.99,296.48,0.45
154,husavik,79,CA,1571081412,78,50.56,-96.99,278.71,2.24
155,ambovombe,0,MG,1571081412,81,-25.18,46.09,295.7,7.513
156,san patricio,100,PY,1571081412,90,-26.98,-56.83,296.9,2.541
157,constitucion,90,MX,1571081412,35,23.99,-104.67,297.59,1.0
158,tiznit,36,MA,1571081412,70,29.7,-9.73,291.0,3.019
159,vila velha,6,BR,1571081412,58,-3.71,-38.6,302.15,6.2
160,eyl,0,SO,1571081412,81,7.98,49.82,300.3,5.267
161,ninghai,81,CN,1571081412,72,29.29,121.42,291.15,3.0
162,novikovo,34,RU,1571081412,70,51.15,37.89,287.5,4.377
163,ixtapa,20,MX,1571081412,70,20.71,-105.21,304.82,3.1
164,katsuura,75,JP,1571081412,63,33.93,134.5,292.15,6.7
165,fayaoue,64,NC,1571081412,74,-20.65,166.53,295.1,5.473
166,tuy hoa,100,VN,1571081412,79,13.08,109.3,300.0,4.165
167,saskylakh,94,RU,1571081412,93,71.97,114.09,267.6,5.145
168,vostok,0,RU,1571081412,64,46.45,135.83,267.5,2.725
169,arbuzynka,42,UA,1571081412,73,47.91,31.32,287.1,3.558
170,lebu,20,ET,1571081412,47,8.96,38.73,288.15,6.2
171,pangnirtung,75,CA,1571081412,74,66.15,-65.72,273.15,1.5
172,kodiak,1,US,1571081412,42,39.95,-94.76,295.15,4.6
173,teguise,20,ES,1571081412,78,29.06,-13.56,295.15,5.7
174,dongying,0,CN,1571081412,34,37.43,118.67,282.0,3.057
175,huarmey,67,PE,1571081412,37,-10.07,-78.15,300.1,4.458
176,farmington,1,US,1571081412,15,36.73,-108.21,293.15,4.508
177,tocopilla,0,CL,1571081412,14,-22.09,-70.2,295.4,5.794
178,vila franca do campo,20,PT,1571081412,63,37.72,-25.43,294.82,3.6
179,khokhlovo,27,RU,1571081412,71,50.71,36.69,287.3,3.81
180,ancud,0,CL,1571081412,23,-41.87,-73.83,291.15,5.7
181,santa catarina de tepehuanes,96,MX,1571081412,51,25.34,-105.72,293.9,2.43
182,basco,1,US,1571081412,44,40.33,-91.2,291.48,4.1
183,jumla,25,NP,1571081412,95,29.28,82.18,279.0,0.687
184,leh,15,IN,1571081412,32,34.16,77.58,274.7,1.149
185,ugoofaaru,0,MV,1571081412,67,5.67,73.0,301.6,0.349
186,louga,75,SN,1571081412,66,15.62,-16.22,304.15,2.1
187,nantucket,90,US,1571081412,93,41.28,-70.1,290.37,4.6
188,dalbeattie,82,GB,1571081412,89,54.93,-3.83,284.26,1.281
189,tiruchchendur,99,IN,1571081412,72,8.48,78.12,301.9,1.527
190,sunnyside,64,CA,1571081412,70,47.86,-53.92,281.6,4.748
191,georgetown,40,GY,1571081412,55,6.8,-58.16,304.15,5.1
192,jambi,65,ID,1571081412,90,-1.6,103.62,296.8,0.93
193,lima,40,PE,1571081412,64,-12.06,-77.04,294.15,6.7
194,poronaysk,0,RU,1571081412,57,49.22,143.1,274.8,5.85
195,tuatapere,59,NZ,1571081412,92,-46.13,167.69,282.59,0.89
196,san carlos de bariloche,40,AR,1571081412,36,-41.13,-71.31,281.15,7.2
197,plettenberg bay,0,ZA,1571081412,74,-34.05,23.37,289.8,3.82
198,port alfred,0,ZA,1571081412,88,-33.59,26.89,290.93,2.24
199,rudnichnyy,100,RU,1571081412,86,59.7,60.29,279.1,3.103
200,gizo,75,IL,1571081412,88,31.8,34.94,299.82,2.6
201,shelburne,90,CA,1571081412,61,44.08,-80.2,285.15,5.1
202,port blair,100,IN,1571081412,76,11.67,92.75,302.2,5.806
203,jasper,75,US,1571081412,43,33.83,-87.28,297.04,0.696
204,san quintin,98,PH,1571081412,87,17.54,120.52,294.7,2.336
205,sioux lookout,90,CA,1571081412,93,50.1,-91.92,277.15,2.6
206,manggar,95,ID,1571081412,80,-2.88,108.27,300.1,3.53
207,baykit,100,RU,1571081412,98,61.68,96.39,274.2,1.78
208,peniche,20,PT,1571081412,63,39.36,-9.38,289.15,2.1
209,viedma,52,AR,1571081412,42,-40.81,-62.99,285.0,6.357
210,komsomolskiy,100,RU,1571081412,91,67.55,63.78,273.5,3.218
211,santa isabel do rio negro,61,BR,1571081412,36,-0.41,-65.02,310.7,0.718
212,ulyanovsk,100,RU,1571081412,77,54.31,48.36,282.5,6.619
213,codrington,75,AU,1571081412,93,-28.95,153.24,289.15,1.0
214,stolin,0,BY,1571081412,77,51.89,26.85,287.1,3.521
215,lons-le-saunier,46,FR,1571081412,72,46.67,5.56,292.59,3.6
216,la ronge,90,CA,1571081412,56,55.1,-105.3,279.15,3.6
217,taoudenni,0,ML,1571081412,18,22.68,-3.98,309.7,4.699
218,esperance,75,AU,1571081412,100,-33.86,121.89,281.15,2.6
219,fort nelson,75,CA,1571081412,86,58.81,-122.69,274.15,1.5
220,gold coast,37,AU,1571081412,93,-28.0,153.41,293.71,5.831
221,puerto ayacucho,20,CO,1571081412,46,5.66,-67.63,307.15,2.1
222,lithakia,0,GR,1571081412,88,37.72,20.83,295.15,3.362
223,xining,58,CN,1571081412,66,36.62,101.77,278.1,3.361
224,paso de los toros,90,UY,1571081412,71,-32.81,-56.52,283.15,10.3
225,idah,74,NG,1571081412,78,7.11,6.73,300.2,1.56
226,shaunavon,100,CA,1571081412,77,49.65,-108.41,274.5,9.8
227,kloulklubed,90,PW,1571081412,94,7.04,134.26,297.15,3.389
228,byron bay,40,AU,1571081412,100,-28.65,153.62,292.04,1.0
229,muncar,100,ID,1571081412,82,-8.43,114.34,298.4,3.288
230,narsaq,5,GL,1571081412,47,60.91,-46.05,276.15,1.5
231,payson,1,US,1571081412,23,40.04,-111.73,292.15,2.1
232,grand-santi,18,GF,1571081412,31,4.27,-54.38,308.9,1.931
233,beringovskiy,100,RU,1571081412,94,63.05,179.32,277.1,14.683
234,clyde river,90,CA,1571081412,64,70.47,-68.59,275.15,6.7
235,puerto leguizamo,55,CO,1571081412,56,-0.19,-74.78,304.9,1.035
